id,license_groups,chapter,chapter_name,question,option1,option2,option3,option4,answer_index,answer,is_critical,source_page,has_original_image
1,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Phần của đường bộ được sử dụng cho phương tiện giao thông đường bộ đi lại là gì?,Phần mặt đường và lề đường.,Phần đường xe chạy.,Phần đường xe cơ giới.,,2,Phần đường xe chạy.,False,5,False
2,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Làn đường là gì?,"Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, sử dụng cho xe chạy.","Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, có đủ chiều rộng cho xe chạy an toàn.","Là đường cho xe ô tô chạy, dừng, đỗ an toàn.",,2,"Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, có đủ chiều rộng cho xe chạy an toàn.",False,5,False
3,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Khổ giới hạn của đường bộ được hiểu như thế nào là đúng?,"Khổ giới hạn của đường bộ là khoảng trống có kích thước giới hạn về chiều rộng, chiều cao của đường bộ để các xe, bao gồm cả hàng hoá xếp trên xe đi qua được an toàn và được xác định theo quy chuẩn, tiêu chuẩn kỹ thuật của đường bộ.","Là khoảng trống có kích thước giới hạn về chiều rộng của đường, cầu, bến phà, hầm trên đường b ộ để các xe kể cả hàng hóa xếp trên xe đi qua được an toàn.","Là khoảng trống có kích thước giới hạn về chiều cao của cầu, bến phà, hầm trên đường bộ để các xe đi qua được an toàn.",,1,"Khổ giới hạn của đường bộ là khoảng trống có kích thước giới hạn về chiều rộng, chiều cao của đường bộ để các xe, bao gồm cả hàng hoá xếp trên xe đi qua được an toàn và được xác định theo quy chuẩn, tiêu chuẩn kỹ thuật của đường bộ.",False,5,False
4,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Dải phân cách được lắp đặt để làm gì?,Để phân chia các làn đường dành cho xe cơ giới và xe thô sơ trên đường cao tốc.,Để phân chia phần đường xe chạy thành hai chiều riêng biệt hoặc để phân chia phần đường dành cho xe cơ giới và xe thô sơ hoặc của nhiều loại xe khác nhau trên cùng một chiều đường.,Để phân tách phần đường xe chạy và hành lang an toàn giao thông.,,2,Để phân chia phần đường xe chạy thành hai chiều riêng biệt hoặc để phân chia phần đường dành cho xe cơ giới và xe thô sơ hoặc của nhiều loại xe khác nhau trên cùng một chiều đường.,False,5,False
5,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Vạch kẻ đường là gì?,Là báo hiệu đường bộ để hỗ trợ cảnh báo nguy hiểm cho người tham gia giao thông đường bộ.,"Là vạch chỉ sự phân chia làn đường, vị trí hoặc hướng đi, vị trí dừng lại.",Là báo hiệu cho người tham gia giao thông đường bộ về các thông tin của đường bộ.,Cả ba ý trên.,2,"Là vạch chỉ sự phân chia làn đường, vị trí hoặc hướng đi, vị trí dừng lại.",False,5,False
6,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Người điều khiển phương tiện tham gia giao thông đường bộ được hiểu như thế nào là đúng?,"Là người điều khiển xe cơ giới, người điều khiển xe thô sơ, người điều khiển xe máy chuyên dùng.",Là người được giao nhiệm vụ hướng dẫn giao thông trên đường bộ.,Cả hai ý trên.,,1,"Là người điều khiển xe cơ giới, người điều khiển xe thô sơ, người điều khiển xe máy chuyên dùng.",False,6,False
7,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Người lái xe được hiểu như thế nào là đúng?,Là người điều khiển xe cơ giới.,Là người điều khiển xe thô sơ.,Là người điều khiển xe máy chuyên dùng.,,1,Là người điều khiển xe cơ giới.,False,6,False
8,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,"Trong nhóm các phương tiện giao thông đường bộ dưới đây, nhóm phương tiện nào là xe cơ giới?","Xe ô tô; máy kéo; xe mô tô hai bánh; xe mô tô ba bánh; xe gắn máy; xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng; xe đạp, xe đạp máy, xe đạp điện.","Xe ô tô; rơ moóc được kéo bởi xe ô tô; sơ mi rơ moóc được kéo bởi ô tô đầu kéo; xe chở người bốn bánh có gắn động cơ; xe chở hàng bốn bánh có gắn động cơ; xe mô tô, xe gắn máy và các loại xe tương tự.",,,2,"Xe ô tô; rơ moóc được kéo bởi xe ô tô; sơ mi rơ moóc được kéo bởi ô tô đầu kéo; xe chở người bốn bánh có gắn động cơ; xe chở hàng bốn bánh có gắn động cơ; xe mô tô, xe gắn máy và các loại xe tương tự.",False,6,False
9,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,"Trong nhóm các phương tiện giao thông đường bộ dưới đây, nhóm phương tiện nào là xe thô sơ?","Xe đạp, xe đạp máy, xe đạp điện; xe xích lô; xe lăn dùng cho người khuyết tật; xe vật nuôi kéo và các loại xe tương tự.","Xe đạp (kể cả xe đạp máy, xe đạp điện), xe gắn máy, xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng.","Xe ô tô, máy kéo, rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô, máy kéo.",,1,"Xe đạp, xe đạp máy, xe đạp điện; xe xích lô; xe lăn dùng cho người khuyết tật; xe vật nuôi kéo và các loại xe tương tự.",False,6,False
10,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Phương tiện giao thông đường bộ gồm những loại nào?,Phương tiện giao thông cơ giới đường bộ.,"Phương tiện giao thông thô sơ đường bộ, xe máy chuyên dùng và các loại xe tương tự.",Cả hai ý trên.,,3,Cả hai ý trên.,False,6,False
11,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Người tham gia giao thông đường bộ gồm những đối tượng nào?,"Người điều khiển, người được chở trên phương tiện tham gia giao thông đường bộ.","Người điều khiển, dẫn dắt vật nuôi trên đường bộ; người đi bộ trên đường bộ.",Cả hai ý trên.,,3,Cả hai ý trên.,False,6,False
12,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Người điều khiển phương tiện tham gia giao thông đường bộ gồm những đối tượng nào dưới đây?,"Người điều khiển xe cơ giới, người điều khiển xe thô sơ.",Người điều khiển xe máy chuyên dùng.,Cả hai ý trên.,,3,Cả hai ý trên.,False,7,False
13,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Người điều khiển giao thông đường bộ được hiểu như thế nào là đúng?,Là người điều khiển phương tiện tham gia giao thông đường bộ.,Là Cảnh sát giao thông và người được giao nhiệm vụ hướng dẫn giao thông trên đường bộ.,Là người tham gia giao thông đường bộ.,,2,Là Cảnh sát giao thông và người được giao nhiệm vụ hướng dẫn giao thông trên đường bộ.,False,7,False
14,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Dừng xe được hiểu như thế nào là đúng?,"Là trạng thái đứng yên của xe không giới hạn thời gian để cho người lên, xuống xe, xếp dỡ hàng hóa hoặc thực hiện công việc khác.","Là trạng thái đứng yên tạm thời của xe trong một khoảng thời gian cần thiết đủ để cho người lên xe, xuống xe, xếp dỡ hàng hóa, kiểm tra kỹ thuật xe hoặc hoạt động khác. Khi dừng xe không được tắt máy và không được rời khỏi vị trí lái, trừ trường hợp rời khỏi vị trí lái để đóng, mở cửa xe, xếp dỡ hàng hóa, kiểm tra kỹ thuật xe nhưng phải sử dụng phanh đỗ xe hoặc thực hiện biện pháp an toàn khác.",Là trạng thái đứng yên của xe không giới hạn thời gian giữa 02 lần vận chuyển hàng hóa hoặc hành khách.,,2,"Là trạng thái đứng yên tạm thời của xe trong một khoảng thời gian cần thiết đủ để cho người lên xe, xuống xe, xếp dỡ hàng hóa, kiểm tra kỹ thuật xe hoặc hoạt động khác. Khi dừng xe không được tắt máy và không được rời khỏi vị trí lái, trừ trường hợp rời khỏi vị trí lái để đóng, mở cửa xe, xếp dỡ hàng hóa, kiểm tra kỹ thuật xe nhưng phải sử dụng phanh đỗ xe hoặc thực hiện biện pháp an toàn khác.",False,7,False
15,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Đỗ xe được hiểu như thế nào là đúng?,"Là trạng thái đứng yên của xe có giới hạn thời gian trong một khoảng thời gian cần thiết đủ để cho người lên, xuống xe đó, xếp dỡ hàng hóa hoặc thực hiện công việc khác.","Là trạng thái đứng yên của xe không giới hạn thời gian. Khi đỗ xe, người điều khiển phương tiện tham gia giao thông đường bộ chỉ được rời khỏi xe khi đã sử dụng phanh đỗ xe hoặc thực hiện biện pháp an toàn khác. Xe đỗ trên đoạn đường dốc phải đánh lái về phía lề đường, chèn bánh.",,,2,"Là trạng thái đứng yên của xe không giới hạn thời gian. Khi đỗ xe, người điều khiển phương tiện tham gia giao thông đường bộ chỉ được rời khỏi xe khi đã sử dụng phanh đỗ xe hoặc thực hiện biện pháp an toàn khác. Xe đỗ trên đoạn đường dốc phải đánh lái về phía lề đường, chèn bánh.",False,7,False
16,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Đường cao tốc được hiểu như thế nào là đúng?,"Là một cấp kỹ thuật của đường bộ, chỉ dành cho một số loại xe cơ giới, xe máy chuyên dùng tham gia giao thông theo quy định của pháp luật. Có dải phân cách phân chia hai chiều xe chạy riêng biệt, không giao nhau cùng mức với một hoặc các đường khác, chỉ cho xe ra, vào ở những điểm nhất định. Có hàng rào bảo vệ, trang thiết bị phục vụ, bảo đảm giao thông liên tục, an toàn, rút ngắn thời gian hành trình.","Là đường nối liền Thủ đô Hà Nội với trung tâm hành chính cấp tỉnh; đường nối liền các trung tâm hành chính cấp tỉnh; đường có vị trí quan trọng đối với sự phát triển kinh tế- xã hội, bảo đảm quốc phòng, an ninh của vùng, khu vực.",,,1,"Là một cấp kỹ thuật của đường bộ, chỉ dành cho một số loại xe cơ giới, xe máy chuyên dùng tham gia giao thông theo quy định của pháp luật. Có dải phân cách phân chia hai chiều xe chạy riêng biệt, không giao nhau cùng mức với một hoặc các đường khác, chỉ cho xe ra, vào ở những điểm nhất định. Có hàng rào bảo vệ, trang thiết bị phục vụ, bảo đảm giao thông liên tục, an toàn, rút ngắn thời gian hành trình.",False,7,False
